,from,to
0,"{""name"": ""Location0 in Rectangle 2"", ""coordinates"": [99.580596, 8.575083]}","{""name"": ""Location0 in Rectangle 1"", ""coordinates"": [97.648375, 20.027254]}"
1,"{""name"": ""Location1 in Rectangle 2"", ""coordinates"": [103.801532, 8.488177]}","{""name"": ""Location1 in Rectangle 1"", ""coordinates"": [100.293536, 19.691392]}"
2,"{""name"": ""Location2 in Rectangle 2"", ""coordinates"": [98.031679, 8.542023]}","{""name"": ""Location2 in Rectangle 2"", ""coordinates"": [98.382408, 8.572495]}"
3,"{""name"": ""Location3 in Rectangle 1"", ""coordinates"": [105.029513, 19.910065]}","{""name"": ""Location3 in Rectangle 2"", ""coordinates"": [102.106276, 8.408907]}"
4,"{""name"": ""Location4 in Rectangle 1"", ""coordinates"": [103.90056, 19.627501]}","{""name"": ""Location4 in Rectangle 2"", ""coordinates"": [105.432259, 8.392994]}"
5,"{""name"": ""Location5 in Rectangle 2"", ""coordinates"": [102.85167, 8.545206]}","{""name"": ""Location5 in Rectangle 1"", ""coordinates"": [97.801705, 19.858979]}"
6,"{""name"": ""Location6 in Rectangle 2"", ""coordinates"": [105.494253, 8.553054]}","{""name"": ""Location6 in Rectangle 2"", ""coordinates"": [100.326655, 8.381511]}"
7,"{""name"": ""Location7 in Rectangle 1"", ""coordinates"": [103.514892, 19.47894]}","{""name"": ""Location7 in Rectangle 1"", ""coordinates"": [97.695373, 19.710447]}"
8,"{""name"": ""Location8 in Rectangle 1"", ""coordinates"": [98.959791, 19.527694]}","{""name"": ""Location8 in Rectangle 2"", ""coordinates"": [105.510294, 8.450961]}"
9,"{""name"": ""Location9 in Rectangle 1"", ""coordinates"": [105.327804, 20.06945]}","{""name"": ""Location9 in Rectangle 2"", ""coordinates"": [103.477594, 8.425901]}"
10,"{""name"": ""Location10 in Rectangle 1"", ""coordinates"": [103.395581, 19.987582]}","{""name"": ""Location10 in Rectangle 2"", ""coordinates"": [100.952513, 8.553105]}"
11,"{""name"": ""Location11 in Rectangle 1"", ""coordinates"": [103.190082, 19.824053]}","{""name"": ""Location11 in Rectangle 2"", ""coordinates"": [105.399675, 8.509566]}"
12,"{""name"": ""Location12 in Rectangle 1"", ""coordinates"": [101.302913, 19.836796]}","{""name"": ""Location12 in Rectangle 2"", ""coordinates"": [97.456499, 8.542659]}"
13,"{""name"": ""Location13 in Rectangle 1"", ""coordinates"": [100.138597, 19.710926]}","{""name"": ""Location13 in Rectangle 1"", ""coordinates"": [101.339717, 19.561522]}"
14,"{""name"": ""Location14 in Rectangle 1"", ""coordinates"": [98.536095, 19.478997]}","{""name"": ""Location14 in Rectangle 1"", ""coordinates"": [97.246038, 19.499202]}"
15,"{""name"": ""Location15 in Rectangle 2"", ""coordinates"": [98.213948, 8.547087]}","{""name"": ""Location15 in Rectangle 1"", ""coordinates"": [99.716995, 19.908102]}"
16,"{""name"": ""Location16 in Rectangle 1"", ""coordinates"": [105.115267, 19.908152]}","{""name"": ""Location16 in Rectangle 2"", ""coordinates"": [102.2986, 8.479226]}"
17,"{""name"": ""Location17 in Rectangle 2"", ""coordinates"": [106.008804, 8.486933]}","{""name"": ""Location17 in Rectangle 2"", ""coordinates"": [101.548842, 8.567055]}"
18,"{""name"": ""Location18 in Rectangle 1"", ""coordinates"": [100.40915, 19.519296]}","{""name"": ""Location18 in Rectangle 2"", ""coordinates"": [99.68235, 8.500827]}"
19,"{""name"": ""Location19 in Rectangle 1"", ""coordinates"": [97.553901, 19.56297]}","{""name"": ""Location19 in Rectangle 2"", ""coordinates"": [97.986914, 8.479671]}"
20,"{""name"": ""Location20 in Rectangle 1"", ""coordinates"": [98.39677, 19.878491]}","{""name"": ""Location20 in Rectangle 1"", ""coordinates"": [98.888802, 19.563432]}"
21,"{""name"": ""Location21 in Rectangle 1"", ""coordinates"": [97.927471, 19.915676]}","{""name"": ""Location21 in Rectangle 2"", ""coordinates"": [104.282012, 8.456961]}"
22,"{""name"": ""Location22 in Rectangle 1"", ""coordinates"": [101.324192, 20.005936]}","{""name"": ""Location22 in Rectangle 1"", ""coordinates"": [103.327058, 20.010856]}"
23,"{""name"": ""Location23 in Rectangle 1"", ""coordinates"": [105.581637, 19.773248]}","{""name"": ""Location23 in Rectangle 2"", ""coordinates"": [101.529209, 8.421056]}"
24,"{""name"": ""Location24 in Rectangle 1"", ""coordinates"": [100.827163, 19.904934]}","{""name"": ""Location24 in Rectangle 2"", ""coordinates"": [104.096274, 8.517503]}"
25,"{""name"": ""Location25 in Rectangle 1"", ""coordinates"": [101.834475, 19.506475]}","{""name"": ""Location25 in Rectangle 2"", ""coordinates"": [101.023529, 8.509949]}"
26,"{""name"": ""Location26 in Rectangle 1"", ""coordinates"": [105.183099, 19.764858]}","{""name"": ""Location26 in Rectangle 1"", ""coordinates"": [106.038793, 19.979336]}"
27,"{""name"": ""Location27 in Rectangle 2"", ""coordinates"": [101.025545, 8.556292]}","{""name"": ""Location27 in Rectangle 2"", ""coordinates"": [104.478647, 8.454607]}"
28,"{""name"": ""Location28 in Rectangle 2"", ""coordinates"": [100.058728, 8.593866]}","{""name"": ""Location28 in Rectangle 2"", ""coordinates"": [98.885124, 8.397666]}"
29,"{""name"": ""Location29 in Rectangle 1"", ""coordinates"": [106.298231, 19.741969]}","{""name"": ""Location29 in Rectangle 1"", ""coordinates"": [100.902806, 19.568947]}"
30,"{""name"": ""Location30 in Rectangle 1"", ""coordinates"": [105.351493, 19.643617]}","{""name"": ""Location30 in Rectangle 2"", ""coordinates"": [103.442598, 8.553241]}"
31,"{""name"": ""Location31 in Rectangle 1"", ""coordinates"": [105.633112, 19.930068]}","{""name"": ""Location31 in Rectangle 2"", ""coordinates"": [104.865423, 8.480716]}"
32,"{""name"": ""Location32 in Rectangle 2"", ""coordinates"": [97.669252, 8.597821]}","{""name"": ""Location32 in Rectangle 1"", ""coordinates"": [98.666635, 20.072039]}"
33,"{""name"": ""Location33 in Rectangle 1"", ""coordinates"": [99.589005, 19.878965]}","{""name"": ""Location33 in Rectangle 1"", ""coordinates"": [102.828383, 20.000917]}"
34,"{""name"": ""Location34 in Rectangle 1"", ""coordinates"": [99.049646, 19.743724]}","{""name"": ""Location34 in Rectangle 2"", ""coordinates"": [105.157938, 8.386351]}"
35,"{""name"": ""Location35 in Rectangle 2"", ""coordinates"": [98.145292, 8.435027]}","{""name"": ""Location35 in Rectangle 2"", ""coordinates"": [102.465166, 8.490441]}"
36,"{""name"": ""Location36 in Rectangle 2"", ""coordinates"": [104.76817, 8.53466]}","{""name"": ""Location36 in Rectangle 2"", ""coordinates"": [101.973291, 8.533666]}"
37,"{""name"": ""Location37 in Rectangle 1"", ""coordinates"": [97.231068, 19.869448]}","{""name"": ""Location37 in Rectangle 1"", ""coordinates"": [102.668298, 19.88881]}"
38,"{""name"": ""Location38 in Rectangle 2"", ""coordinates"": [103.248832, 8.404481]}","{""name"": ""Location38 in Rectangle 2"", ""coordinates"": [102.819252, 8.501952]}"
