json_data
"{""name"": ""Location0 in Rectangle 2"", ""coordinates"": [99.580596, 8.575083]}"
"{""name"": ""Location1 in Rectangle 2"", ""coordinates"": [103.801532, 8.488177]}"
"{""name"": ""Location2 in Rectangle 2"", ""coordinates"": [98.031679, 8.542023]}"
"{""name"": ""Location3 in Rectangle 1"", ""coordinates"": [105.029513, 19.910065]}"
"{""name"": ""Location4 in Rectangle 1"", ""coordinates"": [103.90056, 19.627501]}"
"{""name"": ""Location5 in Rectangle 2"", ""coordinates"": [102.85167, 8.545206]}"
"{""name"": ""Location6 in Rectangle 2"", ""coordinates"": [105.494253, 8.553054]}"
"{""name"": ""Location7 in Rectangle 1"", ""coordinates"": [103.514892, 19.47894]}"
"{""name"": ""Location8 in Rectangle 1"", ""coordinates"": [98.959791, 19.527694]}"
"{""name"": ""Location9 in Rectangle 1"", ""coordinates"": [105.327804, 20.06945]}"
"{""name"": ""Location10 in Rectangle 1"", ""coordinates"": [103.395581, 19.987582]}"
"{""name"": ""Location11 in Rectangle 1"", ""coordinates"": [103.190082, 19.824053]}"
"{""name"": ""Location12 in Rectangle 1"", ""coordinates"": [101.302913, 19.836796]}"
"{""name"": ""Location13 in Rectangle 1"", ""coordinates"": [100.138597, 19.710926]}"
"{""name"": ""Location14 in Rectangle 1"", ""coordinates"": [98.536095, 19.478997]}"
"{""name"": ""Location15 in Rectangle 2"", ""coordinates"": [98.213948, 8.547087]}"
"{""name"": ""Location16 in Rectangle 1"", ""coordinates"": [105.115267, 19.908152]}"
"{""name"": ""Location17 in Rectangle 2"", ""coordinates"": [106.008804, 8.486933]}"
"{""name"": ""Location18 in Rectangle 1"", ""coordinates"": [100.40915, 19.519296]}"
"{""name"": ""Location19 in Rectangle 1"", ""coordinates"": [97.553901, 19.56297]}"
"{""name"": ""Location20 in Rectangle 1"", ""coordinates"": [98.39677, 19.878491]}"
"{""name"": ""Location21 in Rectangle 1"", ""coordinates"": [97.927471, 19.915676]}"
"{""name"": ""Location22 in Rectangle 1"", ""coordinates"": [101.324192, 20.005936]}"
"{""name"": ""Location23 in Rectangle 1"", ""coordinates"": [105.581637, 19.773248]}"
"{""name"": ""Location24 in Rectangle 1"", ""coordinates"": [100.827163, 19.904934]}"
"{""name"": ""Location25 in Rectangle 1"", ""coordinates"": [101.834475, 19.506475]}"
"{""name"": ""Location26 in Rectangle 1"", ""coordinates"": [105.183099, 19.764858]}"
"{""name"": ""Location27 in Rectangle 2"", ""coordinates"": [101.025545, 8.556292]}"
"{""name"": ""Location28 in Rectangle 2"", ""coordinates"": [100.058728, 8.593866]}"
"{""name"": ""Location29 in Rectangle 1"", ""coordinates"": [106.298231, 19.741969]}"
"{""name"": ""Location30 in Rectangle 1"", ""coordinates"": [105.351493, 19.643617]}"
"{""name"": ""Location31 in Rectangle 1"", ""coordinates"": [105.633112, 19.930068]}"
"{""name"": ""Location32 in Rectangle 2"", ""coordinates"": [97.669252, 8.597821]}"
"{""name"": ""Location33 in Rectangle 1"", ""coordinates"": [99.589005, 19.878965]}"
"{""name"": ""Location34 in Rectangle 1"", ""coordinates"": [99.049646, 19.743724]}"
"{""name"": ""Location35 in Rectangle 2"", ""coordinates"": [98.145292, 8.435027]}"
"{""name"": ""Location36 in Rectangle 2"", ""coordinates"": [104.76817, 8.53466]}"
"{""name"": ""Location37 in Rectangle 1"", ""coordinates"": [97.231068, 19.869448]}"
"{""name"": ""Location38 in Rectangle 2"", ""coordinates"": [103.248832, 8.404481]}"
"{""name"": ""Location39 in Rectangle 2"", ""coordinates"": [105.709486, 8.433679]}"
"{""name"": ""Location40 in Rectangle 1"", ""coordinates"": [102.692949, 19.759034]}"
"{""name"": ""Location41 in Rectangle 1"", ""coordinates"": [103.465543, 19.939223]}"
"{""name"": ""Location42 in Rectangle 1"", ""coordinates"": [100.862188, 19.824494]}"
"{""name"": ""Location43 in Rectangle 2"", ""coordinates"": [106.010298, 8.536249]}"
"{""name"": ""Location44 in Rectangle 2"", ""coordinates"": [103.600598, 8.595511]}"
"{""name"": ""Location45 in Rectangle 2"", ""coordinates"": [97.342131, 8.572755]}"
"{""name"": ""Location46 in Rectangle 2"", ""coordinates"": [105.457231, 8.435606]}"
"{""name"": ""Location47 in Rectangle 1"", ""coordinates"": [102.886599, 19.612581]}"
"{""name"": ""Location48 in Rectangle 1"", ""coordinates"": [97.311763, 19.753275]}"
