json_data
"{""name"": ""Location0 in Rectangle 1"", ""coordinates"": [97.648375, 20.027254]}"
"{""name"": ""Location1 in Rectangle 1"", ""coordinates"": [100.293536, 19.691392]}"
"{""name"": ""Location2 in Rectangle 2"", ""coordinates"": [98.382408, 8.572495]}"
"{""name"": ""Location3 in Rectangle 2"", ""coordinates"": [102.106276, 8.408907]}"
"{""name"": ""Location4 in Rectangle 2"", ""coordinates"": [105.432259, 8.392994]}"
"{""name"": ""Location5 in Rectangle 1"", ""coordinates"": [97.801705, 19.858979]}"
"{""name"": ""Location6 in Rectangle 2"", ""coordinates"": [100.326655, 8.381511]}"
"{""name"": ""Location7 in Rectangle 1"", ""coordinates"": [97.695373, 19.710447]}"
"{""name"": ""Location8 in Rectangle 2"", ""coordinates"": [105.510294, 8.450961]}"
"{""name"": ""Location9 in Rectangle 2"", ""coordinates"": [103.477594, 8.425901]}"
"{""name"": ""Location10 in Rectangle 2"", ""coordinates"": [100.952513, 8.553105]}"
"{""name"": ""Location11 in Rectangle 2"", ""coordinates"": [105.399675, 8.509566]}"
"{""name"": ""Location12 in Rectangle 2"", ""coordinates"": [97.456499, 8.542659]}"
"{""name"": ""Location13 in Rectangle 1"", ""coordinates"": [101.339717, 19.561522]}"
"{""name"": ""Location14 in Rectangle 1"", ""coordinates"": [97.246038, 19.499202]}"
"{""name"": ""Location15 in Rectangle 1"", ""coordinates"": [99.716995, 19.908102]}"
"{""name"": ""Location16 in Rectangle 2"", ""coordinates"": [102.2986, 8.479226]}"
"{""name"": ""Location17 in Rectangle 2"", ""coordinates"": [101.548842, 8.567055]}"
"{""name"": ""Location18 in Rectangle 2"", ""coordinates"": [99.68235, 8.500827]}"
"{""name"": ""Location19 in Rectangle 2"", ""coordinates"": [97.986914, 8.479671]}"
"{""name"": ""Location20 in Rectangle 1"", ""coordinates"": [98.888802, 19.563432]}"
"{""name"": ""Location21 in Rectangle 2"", ""coordinates"": [104.282012, 8.456961]}"
"{""name"": ""Location22 in Rectangle 1"", ""coordinates"": [103.327058, 20.010856]}"
"{""name"": ""Location23 in Rectangle 2"", ""coordinates"": [101.529209, 8.421056]}"
"{""name"": ""Location24 in Rectangle 2"", ""coordinates"": [104.096274, 8.517503]}"
"{""name"": ""Location25 in Rectangle 2"", ""coordinates"": [101.023529, 8.509949]}"
"{""name"": ""Location26 in Rectangle 1"", ""coordinates"": [106.038793, 19.979336]}"
"{""name"": ""Location27 in Rectangle 2"", ""coordinates"": [104.478647, 8.454607]}"
"{""name"": ""Location28 in Rectangle 2"", ""coordinates"": [98.885124, 8.397666]}"
"{""name"": ""Location29 in Rectangle 1"", ""coordinates"": [100.902806, 19.568947]}"
"{""name"": ""Location30 in Rectangle 2"", ""coordinates"": [103.442598, 8.553241]}"
"{""name"": ""Location31 in Rectangle 2"", ""coordinates"": [104.865423, 8.480716]}"
"{""name"": ""Location32 in Rectangle 1"", ""coordinates"": [98.666635, 20.072039]}"
"{""name"": ""Location33 in Rectangle 1"", ""coordinates"": [102.828383, 20.000917]}"
"{""name"": ""Location34 in Rectangle 2"", ""coordinates"": [105.157938, 8.386351]}"
"{""name"": ""Location35 in Rectangle 2"", ""coordinates"": [102.465166, 8.490441]}"
"{""name"": ""Location36 in Rectangle 2"", ""coordinates"": [101.973291, 8.533666]}"
"{""name"": ""Location37 in Rectangle 1"", ""coordinates"": [102.668298, 19.88881]}"
"{""name"": ""Location38 in Rectangle 2"", ""coordinates"": [102.819252, 8.501952]}"
"{""name"": ""Location39 in Rectangle 2"", ""coordinates"": [104.841926, 8.544238]}"
"{""name"": ""Location40 in Rectangle 2"", ""coordinates"": [103.497968, 8.570485]}"
"{""name"": ""Location41 in Rectangle 2"", ""coordinates"": [99.486693, 8.57122]}"
"{""name"": ""Location42 in Rectangle 2"", ""coordinates"": [102.55261, 8.437318]}"
"{""name"": ""Location43 in Rectangle 1"", ""coordinates"": [103.606279, 19.465076]}"
"{""name"": ""Location44 in Rectangle 2"", ""coordinates"": [98.721012, 8.443882]}"
"{""name"": ""Location45 in Rectangle 2"", ""coordinates"": [104.289926, 8.465279]}"
"{""name"": ""Location46 in Rectangle 2"", ""coordinates"": [105.357022, 8.394595]}"
"{""name"": ""Location47 in Rectangle 1"", ""coordinates"": [106.266369, 19.770461]}"
"{""name"": ""Location48 in Rectangle 2"", ""coordinates"": [101.24924, 8.482099]}"
"{""name"": ""Location49 in Rectangle 1"", ""coordinates"": [100.863751, 19.712906]}"
"{""name"": ""Location50 in Rectangle 1"", ""coordinates"": [99.809973, 19.915002]}"
"{""name"": ""Location51 in Rectangle 2"", ""coordinates"": [103.344596, 8.445359]}"
"{""name"": ""Location52 in Rectangle 1"", ""coordinates"": [101.141278, 19.956583]}"
"{""name"": ""Location53 in Rectangle 1"", ""coordinates"": [101.434407, 19.599719]}"
"{""name"": ""Location54 in Rectangle 2"", ""coordinates"": [98.303623, 8.424304]}"
"{""name"": ""Location55 in Rectangle 2"", ""coordinates"": [102.561538, 8.454796]}"
"{""name"": ""Location56 in Rectangle 2"", ""coordinates"": [105.487447, 8.494103]}"
"{""name"": ""Location57 in Rectangle 2"", ""coordinates"": [100.953071, 8.414031]}"
"{""name"": ""Location58 in Rectangle 2"", ""coordinates"": [99.808986, 8.461617]}"
"{""name"": ""Location59 in Rectangle 2"", ""coordinates"": [99.033893, 8.431808]}"
"{""name"": ""Location60 in Rectangle 1"", ""coordinates"": [101.022107, 19.940038]}"
"{""name"": ""Location61 in Rectangle 1"", ""coordinates"": [98.59133, 19.889887]}"
"{""name"": ""Location62 in Rectangle 1"", ""coordinates"": [99.188774, 19.842039]}"
"{""name"": ""Location63 in Rectangle 1"", ""coordinates"": [102.032407, 19.781896]}"
"{""name"": ""Location64 in Rectangle 1"", ""coordinates"": [97.391615, 19.578402]}"
"{""name"": ""Location65 in Rectangle 1"", ""coordinates"": [100.881863, 19.983231]}"
"{""name"": ""Location66 in Rectangle 2"", ""coordinates"": [99.900205, 8.417659]}"
"{""name"": ""Location67 in Rectangle 2"", ""coordinates"": [101.40806, 8.540041]}"
"{""name"": ""Location68 in Rectangle 2"", ""coordinates"": [101.570992, 8.39971]}"
"{""name"": ""Location69 in Rectangle 1"", ""coordinates"": [103.935409, 19.614265]}"
"{""name"": ""Location70 in Rectangle 2"", ""coordinates"": [105.981995, 8.401905]}"
"{""name"": ""Location71 in Rectangle 2"", ""coordinates"": [98.570392, 8.494739]}"
"{""name"": ""Location72 in Rectangle 1"", ""coordinates"": [102.616482, 19.623348]}"
"{""name"": ""Location73 in Rectangle 1"", ""coordinates"": [99.456609, 19.76994]}"
"{""name"": ""Location74 in Rectangle 1"", ""coordinates"": [98.304933, 19.844728]}"
"{""name"": ""Location75 in Rectangle 2"", ""coordinates"": [101.097099, 8.424231]}"
"{""name"": ""Location76 in Rectangle 1"", ""coordinates"": [104.114167, 19.899076]}"
"{""name"": ""Location77 in Rectangle 2"", ""coordinates"": [102.866025, 8.446692]}"
"{""name"": ""Location78 in Rectangle 1"", ""coordinates"": [100.198591, 20.101065]}"
"{""name"": ""Location79 in Rectangle 2"", ""coordinates"": [100.853326, 8.495282]}"
"{""name"": ""Location80 in Rectangle 2"", ""coordinates"": [99.01517, 8.509484]}"
"{""name"": ""Location81 in Rectangle 1"", ""coordinates"": [100.31887, 19.450664]}"
"{""name"": ""Location82 in Rectangle 2"", ""coordinates"": [104.520681, 8.447941]}"
"{""name"": ""Location83 in Rectangle 2"", ""coordinates"": [101.282638, 8.551517]}"
"{""name"": ""Location84 in Rectangle 2"", ""coordinates"": [101.014833, 8.50662]}"
"{""name"": ""Location85 in Rectangle 1"", ""coordinates"": [103.686986, 20.046522]}"
"{""name"": ""Location86 in Rectangle 2"", ""coordinates"": [99.260254, 8.561806]}"
"{""name"": ""Location87 in Rectangle 2"", ""coordinates"": [98.381401, 8.553227]}"
"{""name"": ""Location88 in Rectangle 1"", ""coordinates"": [102.813765, 19.542645]}"
"{""name"": ""Location89 in Rectangle 1"", ""coordinates"": [102.567767, 19.602922]}"
"{""name"": ""Location90 in Rectangle 1"", ""coordinates"": [97.966998, 19.671795]}"
"{""name"": ""Location91 in Rectangle 2"", ""coordinates"": [100.840343, 8.583762]}"
"{""name"": ""Location92 in Rectangle 1"", ""coordinates"": [102.743309, 19.774603]}"
"{""name"": ""Location93 in Rectangle 1"", ""coordinates"": [105.376085, 19.870765]}"
"{""name"": ""Location94 in Rectangle 2"", ""coordinates"": [103.717867, 8.529732]}"
"{""name"": ""Location95 in Rectangle 1"", ""coordinates"": [105.329086, 20.061355]}"
"{""name"": ""Location96 in Rectangle 1"", ""coordinates"": [105.245658, 19.890803]}"
"{""name"": ""Location97 in Rectangle 1"", ""coordinates"": [97.365946, 19.664574]}"
"{""name"": ""Location98 in Rectangle 1"", ""coordinates"": [105.566005, 20.053173]}"
"{""name"": ""Location99 in Rectangle 1"", ""coordinates"": [101.617437, 19.803688]}"
"{""name"": ""Location100 in Rectangle 1"", ""coordinates"": [105.602052, 19.904018]}"
"{""name"": ""Location101 in Rectangle 1"", ""coordinates"": [104.291669, 19.782878]}"
"{""name"": ""Location102 in Rectangle 2"", ""coordinates"": [99.945348, 8.546444]}"
"{""name"": ""Location103 in Rectangle 2"", ""coordinates"": [98.745336, 8.568535]}"
"{""name"": ""Location104 in Rectangle 1"", ""coordinates"": [100.114097, 19.831791]}"
"{""name"": ""Location105 in Rectangle 2"", ""coordinates"": [105.503235, 8.449369]}"
"{""name"": ""Location106 in Rectangle 2"", ""coordinates"": [101.11589, 8.537086]}"
"{""name"": ""Location107 in Rectangle 1"", ""coordinates"": [99.061426, 19.835797]}"
"{""name"": ""Location108 in Rectangle 2"", ""coordinates"": [97.425663, 8.545206]}"
"{""name"": ""Location109 in Rectangle 1"", ""coordinates"": [102.598937, 19.874715]}"
"{""name"": ""Location110 in Rectangle 1"", ""coordinates"": [98.558156, 19.805382]}"
"{""name"": ""Location111 in Rectangle 2"", ""coordinates"": [99.697039, 8.564895]}"
"{""name"": ""Location112 in Rectangle 2"", ""coordinates"": [99.149732, 8.450449]}"
"{""name"": ""Location113 in Rectangle 2"", ""coordinates"": [105.799109, 8.47183]}"
